#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Sep 08 19:49:41 EDT 2018,6,6,Assignment1Suite,SizeTest0+ , ,ClearTest0- ClearTest1- EverythingTest0- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest1- SizeTest2- SizeTest3- , ,
1,Sat Sep 08 19:51:16 EDT 2018,6,0,Assignment1Suite,SizeTest0 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 SizeTest3 , ,
