#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Sep 08 19:09:23 EDT 2018,41,41,Assignment1Suite,GetTest0+ GetTest1+ InsertTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,ClearTest0- ClearTest1- EverythingTest0- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- , ,
1,Sat Sep 08 19:09:43 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
2,Sat Sep 08 19:11:39 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
3,Sat Sep 08 19:20:13 EDT 2018,41,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 , ,
4,Sat Sep 08 19:43:55 EDT 2018,100,59,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ GetTest0 GetTest1 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
5,Sat Sep 08 19:49:00 EDT 2018,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
6,Sat Sep 08 19:51:48 EDT 2018,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
